
SIM_SERIAL_NO        ST ACTIVATIO
SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366276   EX 25-OCT-19
896019990095366277   EX 25-OCT-19
896019990095366278   EX 24-OCT-19
896019990095366279   EX 21-OCT-19
896019990095366280   EX 21-OCT-19
896019990095366281   EX 25-OCT-19
896019990095366282   EX 21-OCT-19
896019990095366283   EX 21-OCT-19
896019990095366284   EX 21-OCT-19
896019990095366285   EX 23-OCT-19
896019990095366286   EX 23-OCT-19
896019990095366287   EX 24-OCT-19
896019990095366288   EX 25-OCT-19
896019990095366289   EX          
896019990095366290   EX 25-OCT-19
896019990095366291   EX 25-OCT-19
896019990095366292   EX 29-OCT-19
896019990095366293   EX 25-OCT-19
896019990095366294   EX 21-OCT-19
896019990095366295   EX 21-OCT-19
896019990095366296   EX 25-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366297   EX 31-OCT-19
896019990095366298   EX 19-OCT-19
896019990095366299   EX 19-OCT-19
896019990095366300   EX 31-OCT-19
896019990095366301   EX 23-OCT-19
896019990095366302   EX 25-OCT-19
896019990095366303   EX 21-OCT-19
896019990095366304   EX 21-OCT-19
896019990095366305   EX 28-OCT-19
896019990095366306   EX 02-NOV-19
896019990095366307   EX 02-NOV-19
896019990095366308   EX 31-OCT-19
896019990095366309   EX 26-OCT-19
896019990095366310   EX 28-OCT-19
896019990095366311   EX 28-OCT-19
896019990095366312   EX 28-OCT-19
896019990095366313   EX 28-OCT-19
896019990095366314   EX 28-OCT-19
896019990095366315   EX 28-OCT-19
896019990095366316   EX 23-OCT-19
896019990095366317   EX 23-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366318   EX 23-OCT-19
896019990095366319   EX 10-NOV-19
896019990095366320   EX 10-NOV-19
896019990095366321   EX 04-NOV-19
896019990095366322   EX 28-OCT-19
896019990095366323   EX 24-OCT-19
896019990095366324   EX 06-NOV-19
896019990095366325   EX          
896019990095366326   EX 25-OCT-19
896019990095366327   EX          
896019990095366328   EX 28-OCT-19
896019990095366329   EX 08-NOV-19
896019990095366330   EX 25-OCT-19
896019990095366331   EX 25-OCT-19
896019990095366332   EX 03-NOV-19
896019990095366333   EX          
896019990095366334   EX 03-NOV-19
896019990095366335   EX 03-NOV-19
896019990095366336   EX 04-NOV-19
896019990095366337   EX 03-NOV-19
896019990095366338   EX 03-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366339   EX 07-NOV-19
896019990095366340   EX 08-NOV-19
896019990095366341   EX 17-NOV-19
896019990095366342   EX 17-NOV-19
896019990095366343   EX 17-NOV-19
896019990095366344   EX 04-NOV-19
896019990095366345   EX 02-NOV-19
896019990095366346   EX          
896019990095366347   EX          
896019990095366348   EX          
896019990095366349   EX 03-NOV-19
896019990095366350   EX 03-NOV-19
896019990095366351   EX 02-NOV-19
896019990095366352   EX 02-NOV-19
896019990095366353   EX 19-OCT-19
896019990095366354   EX 05-NOV-19
896019990095366355   EX 05-NOV-19
896019990095366356   EX 19-OCT-19
896019990095366357   EX 16-NOV-19
896019990095366358   EX 16-NOV-19
896019990095366359   EX 16-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095366360   EX 04-DEC-19
896019990095366361   EX          
896019990095366362   EX 22-OCT-19
896019990095366363   EX          
896019990095366364   EX          
896019990095366365   EX 22-OCT-19
896019990095366366   EX 22-OCT-19
896019990095366367   EX 22-OCT-19
896019990095366368   EX 27-OCT-19
896019990095366369   EX 27-OCT-19
896019990095366370   EX 23-OCT-19
896019990095366371   EX 23-OCT-19
896019990095366372   EX 08-NOV-19
